,Address,Price per month €,Capacity,Link
6201,"Harcourt Green, Off Harcourt Street, Dublin 2",2500.0,"3 Bed, 2 Bath, Apartment",https://www.daft.ie//for-rent/apartment-harcourt-green-off-harcourt-street-dublin-2/3234401
2891,"358 Collinswood, Collins Avenue",2500.0,"3 bedrooms (1 single, 2 double), 2 bathrooms, furnished house",https://www.let.ie/property-to-rent/358-Collinswood-Collins-Avenue/5266902
599,"48 Seapoint Avenue Blackrock Co Dublin, Monkstown, Co. Dublin",2500.0,"3 bedrooms (3 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/48-Seapoint-Avenue-Blackrock-Co-Dublin-Monkstown-Co-Dublin/5397847/
2260,"2 Bedroom 2 Bathroom Apartment, Node Living, 25 pembroke street upper, Dublin 2",2500.0,"2 bedrooms (2 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/2-Bedroom-2-Bathroom-Apartment-Node-Living-25-pembroke-street-upper-Dublin-2/4106782/
3039,"62 castlecurragh heath, Mulhuddart, Co. Dublin",2500.0,"3 bedrooms (1 single, 2 double), 2 bathrooms, furnished house",https://www.let.ie/property-to-rent/62-castlecurragh-heath-Mulhuddart-Co-Dublin/5158571
689,"13 Arran Quay Terrace, Dublin 7",2500.0,"3 bedrooms (1 single, 2 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/13-Arran-Quay-Terrace-Dublin-7/5376775/
3085,"The Square, Beggar's Bush",2500.0,"2 bedrooms (2 double), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/The-Square-Beggars-Bush/5097485
2264,"2 Bedroom 2 Bathroom Patio, Node Living, 25 pembroke street upper, Dublin 2",2500.0,"2 bedrooms (2 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/2-Bedroom-2-Bathroom-Patio-Node-Living-25-pembroke-street-upper-Dublin-2/2010542/
2723,"Castlecurragh Heath, Mulhuddart",2500.0,"3 bedrooms (1 single, 2 double), 2 bathrooms, furnished house",https://www.let.ie/property-to-rent/Castlecurragh-Heath-Mulhuddart/5367432
5237,"Santry Place, Swords Road, Santry, Dublin 9",2500.0,"3 Bed, 2 Bath, Apartment",https://www.daft.ie//for-rent/apartment-3-bedroom-apartment-santry-place-swords-road-santry-dublin-9/2761749
719,"Castlecurragh Heath, Mulhuddart, Blanchardstown, Dublin 15",2500.0,"3 bedrooms (1 single, 2 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/Castlecurragh-Heath-Mulhuddart-Blanchardstown-Dublin-15/5367432/
2276,"Three Bed Apartment, Bridgefield, Northwood, Bridgefield, Northwood, Santry, Dublin 9",2500.0,"3 bedrooms (3 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/Three-Bed-Apartment-Bridgefield-Northwood-Bridgefield-Northwood-Santry-Dublin-9/1998212/
95,"Custom Hall, Dublin 1",2500.0,"3 bedrooms (1 single, 2 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Custom-Hall-Dublin-1/5487777/
6226,"The Square, Beggar's Bush, Dublin 4",2500.0,"2 Bed, 1 Bath, Apartment",https://www.daft.ie//for-rent/apartment-the-square-beggars-bush-dublin-4/3265339
3433,"2 BED, Knockrabo, Mount Anville Road, Goatstown, Dublin 14, Co. Dublin",2500.0,"2 bedrooms (2 double), 2 bathrooms, furnished apartment",https://www.let.ie/property-to-rent/2-BED-Knockrabo-Mount-Anville-Road-Goatstown-Dublin-14-Co-Dublin/3103566
3676,"Mews 28, Palmerston Road, Rathmines Dublin 6., Rathmines,   Dublin 6",2500.0,"2 beds, 1 bath, 1000ft 2, Semi-Detached",https://www.myhome.ie/rentals/brochure/mews-28-palmerston-road-rathmines-dublin-6-rathmines-dublin-6/4466497
2382,Custom Hall,2500.0,"3 bedrooms (1 single, 2 double), 1 bathroom, furnished apartment",https://www.let.ie/property-to-rent/Custom-Hall/5487777
2390,"Belgrove Park, Mount Prospect Lawns",2500.0,"3 bedrooms (3 double), 3 bathrooms, unfurnished house",https://www.let.ie/property-to-rent/Belgrove-Park-Mount-Prospect-Lawns/5482967
3137,"25 Saint John\'s, Park Avenue",2500.0,"2 bedrooms (2 double), 2 bathrooms, furnished house",https://www.let.ie/property-to-rent/25-Saint-Johns-Park-Avenue/5004179
441,"18 Pakenham House, Spencer Dock, IFSC, Dublin 1",2500.0,"2 bedrooms (2 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/18-Pakenham-House-Spencer-Dock-IFSC-Dublin-1/5431457/
3465,"Finsbury House, 79/81 Pembroke Road",2500.0,"2 bedrooms (2 double), 1 bathroom apartment",https://www.let.ie/property-to-rent/Finsbury-House-7981-Pembroke-Road/2063969
